<USER_REQUEST>
Product_Name	Loan_Type	Lender_Name	Interest_Type	Property_Type	Negative_Property	Employment_Type	Self Employed Professional	Surrogate	Margin (by occupation)	LTV
LAP	Secured	JIO Finance	Floating	Residential/commercial/Industrial 	Informal	Self Employed Professional	Doctor	SEP	NA	As per LAP LTV Grid
LAP	Secured	JIO Finance	Floating	Plot	Informal	Salaried	NA	NIP	NA	As per LAP LTV Grid
LAP	Secured	JIO Finance	Floating	Plot	Informal	Self Employed Professional/Self Employed Non Professional		NIP	NA	As per LAP LTV Grid
LAP	Secured	JIO Finance	Floating	Residential/commercial/Industrial	Informal	Self Employed Professional/Self Employed Non Professional		Banking	NA	As per LAP LTV Grid
LAP	Secured	JIO Finance	Floating	Residential/commercial/Industrial	Informal	Self Employed Professional/Self Employed Non Professional		GST	Trader - 6%	As per LAP LTV Grid
LAP	Secured	JIO Finance	Floating	Residential/commercial/Industrial	Informal	Self Employed Professional/Self Employed Non Professional		GST	Manufacturer - 8%	As per LAP LTV Grid
LAP	Secured	JIO Finance	Floating	Residential/commercial/Industrial	Informal	Self Employed Professional/Self Employed Non Professional		GST	Service - 12%	As per LAP LTV Grid
LAP	Secured	IDBI Bank	Floating	Residential/commercial	Informal	Salaried	NA	NIP	NA	As per LAP LTV Grid
LAP	Secured	IDBI Bank	Floating	Residential/commercial	Informal	Self Employed Professional/Self Employed Non Professional		NIP	NA	As per LAP LTV Grid
LAP	Secured	TATA Capital	Floating	Residential/commercial/Industrial	Informal	Salaried	NA	NIP	NA	As per LAP LTV Grid
LAP	Secured	TATA Capital	Floating	Residential/commercial/Industrial	Informal	Self Employed Professional/Self Employed Non Professional		NIP	NA	As per LAP LTV Grid
LAP	Secured	TATA Capital	Floating	Residential/commercial/Industrial	Informal	Self Employed Professional	Doctor	SEP	NA	As per LAP LTV Grid
LAP	Secured	TATA Capital	Floating	Residential/commercial/Industrial	Informal	Self Employed Professional	CA, Architect	SEP	NA	As per LAP LTV grid
LAP	Secured	TATA Capital	Floating	Residential/commercial/Industrial	Plot	Salaried	NA	Low LTV	NA	50%
LAP	Secured	TATA Capital	Floating	Residential/commercial/Industrial	Plot	Self Employed Professional/Self Employed Non Professional		Low LTV	NA	50%
LAP	Secured	TATA Capital	Floating	Plot	Informal	Salaried	NA	Low LTV	NA	40%
LAP	Secured	TATA Capital	Floating	Plot	Informal	Self Employed Professional/Self Employed Non Professional		Low LTV	NA	40%
LAP	Secured	Indus Ind Bank	Floating	Residential/commercial/Industrial	Plot	Salaried	NA	NIP	NA	As per LAP LTV grid
LAP	Secured	Indus Ind Bank	Floating	Residential/commercial/Industrial	Plot	Self Employed Professional/Self Employed Non Professional	Doctor, MBBS, BDS, CA, Architect	NIP	NA	As per LAP LTV grid
LAP	Secured	Indus Ind Bank	Floating	Residential/commercial/Industrial	Plot	Self Employed Professional	Doctor, MBBS, BDS	SEP	NA	As per LAP LTV grid
LAP	Secured	Indus Ind Bank	Floating	Residential/commercial/Industrial	Plot	Self Employed Professional	CA	SEP	NA	As per LAP LTV grid
LAP	Secured	Indus Ind Bank	Floating	Residential/commercial/Industrial	Plot	Self Employed Professional	Architect	SEP	NA	As per LAP LTV grid
LAP	Secured	Indus Ind Bank	Floating	Residential/commercial/Industrial	Plot	Self Employed Professional/Self Employed Non Professional	Doctor, MBBS, BDS, CA, Architect	GST		As per LAP LTV grid
LAP	Secured	Indus Ind Bank	Floating	Residential/commercial/Industrial	Plot	Self Employed Professional/Self Employed Non Professional	Doctor, MBBS, BDS, CA, Architect	Banking	NA	As per LAP LTV grid
LAP	Secured	Indus Ind Bank	Floating	Residential/commercial	Plot	Salaried	NA	Low LTV	NA	50%
LAP	Secured	Indus Ind Bank	Floating	Residential/commercial	Plot	Self Employed Professional/Self Employed Non Professional	Doctor, MBBS, BDS, CA, Architect	Low LTV	NA	50% skip the low ltv keep the other data if it already exits use 200 iq to map it to the product use 200 iq 
</USER_REQUEST>
<ADDITIONAL_METADATA>
The current local time is: 2026-07-08T02:35:33+05:30.

The user's current state is as follows:
